"","Threshold","power_open","dcy_indx","PXID"
"473","0.031","2277","1","PXD010504"
"474","0.032","2287","1","PXD010504"
"475","0.033","2308","1","PXD010504"
"476","0.034","2313","1","PXD010504"
"477","0.035","2317","1","PXD010504"
"478","0.036","2318","1","PXD010504"
"479","0.037","2332","1","PXD010504"
"480","0.038","2333","1","PXD010504"
"481","0.039","2338","1","PXD010504"
"482","0.04","2339","1","PXD010504"
"483","0.041","2342","1","PXD010504"
"484","0.042","2344","1","PXD010504"
"485","0.043","2346","1","PXD010504"
"486","0.044","2346","1","PXD010504"
"487","0.045","2349","1","PXD010504"
"488","0.046","2352","1","PXD010504"
"489","0.047","2356","1","PXD010504"
"490","0.048","2363","1","PXD010504"
"491","0.049","2370","1","PXD010504"
"492","0.05","2377","1","PXD010504"
"493","0.01","555","0","PXD012528"
"494","0.011","556","0","PXD012528"
"495","0.012","556","0","PXD012528"
"496","0.013","559","0","PXD012528"
"497","0.014","575","0","PXD012528"
"498","0.015","575","0","PXD012528"
"499","0.016","576","0","PXD012528"
"500","0.017","576","0","PXD012528"
"501","0.018","579","0","PXD012528"
"502","0.019","597","0","PXD012528"
"503","0.02","597","0","PXD012528"
"504","0.021","597","0","PXD012528"
"505","0.022","604","0","PXD012528"
"506","0.023","612","0","PXD012528"
"507","0.024","612","0","PXD012528"
"508","0.025","615","0","PXD012528"
"509","0.026","620","0","PXD012528"
"510","0.027","620","0","PXD012528"
"511","0.028","620","0","PXD012528"
"512","0.029","624","0","PXD012528"
"513","0.03","624","0","PXD012528"
"514","0.031","632","0","PXD012528"
"515","0.032","637","0","PXD012528"
"516","0.033","644","0","PXD012528"
"517","0.034","648","0","PXD012528"
"518","0.035","648","0","PXD012528"
"519","0.036","653","0","PXD012528"
"520","0.037","661","0","PXD012528"
"521","0.038","669","0","PXD012528"
"522","0.039","669","0","PXD012528"
"523","0.04","669","0","PXD012528"
"524","0.041","669","0","PXD012528"
"525","0.042","671","0","PXD012528"
"526","0.043","671","0","PXD012528"
"527","0.044","671","0","PXD012528"
"528","0.045","671","0","PXD012528"
"529","0.046","671","0","PXD012528"
"530","0.047","673","0","PXD012528"
"531","0.048","673","0","PXD012528"
"532","0.049","675","0","PXD012528"
"533","0.05","675","0","PXD012528"
"534","0.01","504","1","PXD012528"
"535","0.011","504","1","PXD012528"
"536","0.012","504","1","PXD012528"
"537","0.013","504","1","PXD012528"
"538","0.014","523","1","PXD012528"
"539","0.015","523","1","PXD012528"
"540","0.016","532","1","PXD012528"
"541","0.017","537","1","PXD012528"
"542","0.018","537","1","PXD012528"
"543","0.019","545","1","PXD012528"
"544","0.02","557","1","PXD012528"
"545","0.021","557","1","PXD012528"
"546","0.022","561","1","PXD012528"
"547","0.023","561","1","PXD012528"
"548","0.024","562","1","PXD012528"
"549","0.025","563","1","PXD012528"
"550","0.026","563","1","PXD012528"
"551","0.027","566","1","PXD012528"
"552","0.028","566","1","PXD012528"
"553","0.029","566","1","PXD012528"
"554","0.03","567","1","PXD012528"
"555","0.031","567","1","PXD012528"
"556","0.032","574","1","PXD012528"
"557","0.033","576","1","PXD012528"
"558","0.034","576","1","PXD012528"
"559","0.035","578","1","PXD012528"
"560","0.036","578","1","PXD012528"
"561","0.037","580","1","PXD012528"
"562","0.038","583","1","PXD012528"
"563","0.039","583","1","PXD012528"
"564","0.04","586","1","PXD012528"
"565","0.041","594","1","PXD012528"
"566","0.042","597","1","PXD012528"
"567","0.043","597","1","PXD012528"
"568","0.044","597","1","PXD012528"
"569","0.045","597","1","PXD012528"
"570","0.046","597","1","PXD012528"
"571","0.047","598","1","PXD012528"
"572","0.048","598","1","PXD012528"
"573","0.049","600","1","PXD012528"
"574","0.05","610","1","PXD012528"
"575","0.01","3553","0","PXD012611"
"576","0.011","3555","0","PXD012611"
"577","0.012","3556","0","PXD012611"
"578","0.013","3559","0","PXD012611"
"579","0.014","3564","0","PXD012611"
"580","0.015","3566","0","PXD012611"
"581","0.016","3575","0","PXD012611"
"582","0.017","3577","0","PXD012611"
"583","0.018","3580","0","PXD012611"
"584","0.019","3585","0","PXD012611"
"585","0.02","3601","0","PXD012611"
"586","0.021","3604","0","PXD012611"
"587","0.022","3609","0","PXD012611"
"588","0.023","3613","0","PXD012611"
"589","0.024","3631","0","PXD012611"
"590","0.025","3632","0","PXD012611"
"591","0.026","3633","0","PXD012611"
"592","0.027","3636","0","PXD012611"
"593","0.028","3645","0","PXD012611"
"594","0.029","3647","0","PXD012611"
"595","0.03","3653","0","PXD012611"
"596","0.031","3656","0","PXD012611"
"597","0.032","3661","0","PXD012611"
"598","0.033","3662","0","PXD012611"
"599","0.034","3668","0","PXD012611"
"600","0.035","3677","0","PXD012611"
"601","0.036","3683","0","PXD012611"
"602","0.037","3685","0","PXD012611"
"603","0.038","3692","0","PXD012611"
"604","0.039","3692","0","PXD012611"
"605","0.04","3695","0","PXD012611"
"606","0.041","3697","0","PXD012611"
"607","0.042","3699","0","PXD012611"
"608","0.043","3699","0","PXD012611"
"609","0.044","3699","0","PXD012611"
"610","0.045","3701","0","PXD012611"
"611","0.046","3713","0","PXD012611"
"612","0.047","3719","0","PXD012611"
"613","0.048","3727","0","PXD012611"
"614","0.049","3732","0","PXD012611"
"615","0.05","3732","0","PXD012611"
"616","0.01","3525","1","PXD012611"
"617","0.011","3534","1","PXD012611"
"618","0.012","3536","1","PXD012611"
"619","0.013","3543","1","PXD012611"
"620","0.014","3551","1","PXD012611"
"621","0.015","3554","1","PXD012611"
"622","0.016","3555","1","PXD012611"
"623","0.017","3559","1","PXD012611"
"624","0.018","3563","1","PXD012611"
"625","0.019","3568","1","PXD012611"
"626","0.02","3572","1","PXD012611"
"627","0.021","3579","1","PXD012611"
"628","0.022","3584","1","PXD012611"
"629","0.023","3585","1","PXD012611"
"630","0.024","3591","1","PXD012611"
"631","0.025","3600","1","PXD012611"
"632","0.026","3604","1","PXD012611"
"633","0.027","3607","1","PXD012611"
"634","0.028","3611","1","PXD012611"
"635","0.029","3612","1","PXD012611"
"636","0.03","3618","1","PXD012611"
"637","0.031","3622","1","PXD012611"
"638","0.032","3633","1","PXD012611"
"639","0.033","3633","1","PXD012611"
"640","0.034","3634","1","PXD012611"
"641","0.035","3639","1","PXD012611"
"642","0.036","3641","1","PXD012611"
"643","0.037","3651","1","PXD012611"
"644","0.038","3660","1","PXD012611"
"645","0.039","3664","1","PXD012611"
"646","0.04","3667","1","PXD012611"
"647","0.041","3670","1","PXD012611"
"648","0.042","3673","1","PXD012611"
"649","0.043","3673","1","PXD012611"
"650","0.044","3675","1","PXD012611"
"651","0.045","3678","1","PXD012611"
"652","0.046","3679","1","PXD012611"
"653","0.047","3686","1","PXD012611"
"654","0.048","3696","1","PXD012611"
"655","0.049","3698","1","PXD012611"
"656","0.05","3698","1","PXD012611"
"657","0.01","14916","0","PXD013274_2"
"658","0.011","14929","0","PXD013274_2"
"659","0.012","14942","0","PXD013274_2"
"660","0.013","14960","0","PXD013274_2"
"661","0.014","14978","0","PXD013274_2"
"662","0.015","14998","0","PXD013274_2"
"663","0.016","15021","0","PXD013274_2"
"664","0.017","15037","0","PXD013274_2"
"665","0.018","15042","0","PXD013274_2"
"666","0.019","15060","0","PXD013274_2"
"667","0.02","15078","0","PXD013274_2"
"668","0.021","15096","0","PXD013274_2"
"669","0.022","15109","0","PXD013274_2"
"670","0.023","15137","0","PXD013274_2"
"671","0.024","15169","0","PXD013274_2"
"672","0.025","15192","0","PXD013274_2"
"673","0.026","15210","0","PXD013274_2"
"674","0.027","15228","0","PXD013274_2"
"675","0.028","15240","0","PXD013274_2"
"676","0.029","15264","0","PXD013274_2"
"677","0.03","15273","0","PXD013274_2"
"678","0.031","15284","0","PXD013274_2"
"679","0.032","15298","0","PXD013274_2"
"680","0.033","15319","0","PXD013274_2"
"681","0.034","15333","0","PXD013274_2"
"682","0.035","15342","0","PXD013274_2"
"683","0.036","15358","0","PXD013274_2"
"684","0.037","15373","0","PXD013274_2"
"685","0.038","15383","0","PXD013274_2"
"686","0.039","15395","0","PXD013274_2"
"687","0.04","15405","0","PXD013274_2"
"688","0.041","15417","0","PXD013274_2"
"689","0.042","15433","0","PXD013274_2"
"690","0.043","15450","0","PXD013274_2"
"691","0.044","15457","0","PXD013274_2"
"692","0.045","15465","0","PXD013274_2"
"693","0.046","15475","0","PXD013274_2"
"694","0.047","15487","0","PXD013274_2"
"695","0.048","15505","0","PXD013274_2"
"696","0.049","15516","0","PXD013274_2"
"697","0.05","15523","0","PXD013274_2"
"698","0.01","14973","1","PXD013274_2"
"699","0.011","14988","1","PXD013274_2"
"700","0.012","15010","1","PXD013274_2"
"701","0.013","15039","1","PXD013274_2"
"702","0.014","15052","1","PXD013274_2"
"703","0.015","15079","1","PXD013274_2"
"704","0.016","15094","1","PXD013274_2"
"705","0.017","15113","1","PXD013274_2"
"706","0.018","15123","1","PXD013274_2"
"707","0.019","15132","1","PXD013274_2"
"708","0.02","15150","1","PXD013274_2"
"709","0.021","15168","1","PXD013274_2"
"710","0.022","15179","1","PXD013274_2"
"711","0.023","15195","1","PXD013274_2"
"712","0.024","15224","1","PXD013274_2"
"713","0.025","15245","1","PXD013274_2"
"714","0.026","15254","1","PXD013274_2"
"715","0.027","15269","1","PXD013274_2"
"716","0.028","15279","1","PXD013274_2"
"717","0.029","15301","1","PXD013274_2"
"718","0.03","15314","1","PXD013274_2"
"719","0.031","15323","1","PXD013274_2"
"720","0.032","15331","1","PXD013274_2"
"721","0.033","15349","1","PXD013274_2"
"722","0.034","15360","1","PXD013274_2"
"723","0.035","15369","1","PXD013274_2"
"724","0.036","15383","1","PXD013274_2"
