"","Threshold","power_narrow","dcy_indx","PXID"
"604","0.039","3417","0","PXD012611"
"605","0.04","3417","0","PXD012611"
"606","0.041","3417","0","PXD012611"
"607","0.042","3417","0","PXD012611"
"608","0.043","3417","0","PXD012611"
"609","0.044","3417","0","PXD012611"
"610","0.045","3417","0","PXD012611"
"611","0.046","3417","0","PXD012611"
"612","0.047","3417","0","PXD012611"
"613","0.048","3417","0","PXD012611"
"614","0.049","3417","0","PXD012611"
"615","0.05","3417","0","PXD012611"
"616","0.01","3338","1","PXD012611"
"617","0.011","3343","1","PXD012611"
"618","0.012","3357","1","PXD012611"
"619","0.013","3362","1","PXD012611"
"620","0.014","3369","1","PXD012611"
"621","0.015","3371","1","PXD012611"
"622","0.016","3371","1","PXD012611"
"623","0.017","3374","1","PXD012611"
"624","0.018","3381","1","PXD012611"
"625","0.019","3384","1","PXD012611"
"626","0.02","3387","1","PXD012611"
"627","0.021","3392","1","PXD012611"
"628","0.022","3399","1","PXD012611"
"629","0.023","3402","1","PXD012611"
"630","0.024","3402","1","PXD012611"
"631","0.025","3406","1","PXD012611"
"632","0.026","3410","1","PXD012611"
"633","0.027","3419","1","PXD012611"
"634","0.028","3421","1","PXD012611"
"635","0.029","3422","1","PXD012611"
"636","0.03","3423","1","PXD012611"
"637","0.031","3425","1","PXD012611"
"638","0.032","3425","1","PXD012611"
"639","0.033","3425","1","PXD012611"
"640","0.034","3425","1","PXD012611"
"641","0.035","3425","1","PXD012611"
"642","0.036","3425","1","PXD012611"
"643","0.037","3425","1","PXD012611"
"644","0.038","3425","1","PXD012611"
"645","0.039","3425","1","PXD012611"
"646","0.04","3425","1","PXD012611"
"647","0.041","3425","1","PXD012611"
"648","0.042","3425","1","PXD012611"
"649","0.043","3425","1","PXD012611"
"650","0.044","3425","1","PXD012611"
"651","0.045","3425","1","PXD012611"
"652","0.046","3425","1","PXD012611"
"653","0.047","3425","1","PXD012611"
"654","0.048","3425","1","PXD012611"
"655","0.049","3425","1","PXD012611"
"656","0.05","3425","1","PXD012611"
"657","0.01","14064","0","PXD013274_2"
"658","0.011","14078","0","PXD013274_2"
"659","0.012","14089","0","PXD013274_2"
"660","0.013","14099","0","PXD013274_2"
"661","0.014","14112","0","PXD013274_2"
"662","0.015","14120","0","PXD013274_2"
"663","0.016","14127","0","PXD013274_2"
"664","0.017","14136","0","PXD013274_2"
"665","0.018","14146","0","PXD013274_2"
"666","0.019","14161","0","PXD013274_2"
"667","0.02","14176","0","PXD013274_2"
"668","0.021","14183","0","PXD013274_2"
"669","0.022","14195","0","PXD013274_2"
"670","0.023","14205","0","PXD013274_2"
"671","0.024","14217","0","PXD013274_2"
"672","0.025","14236","0","PXD013274_2"
"673","0.026","14254","0","PXD013274_2"
"674","0.027","14261","0","PXD013274_2"
"675","0.028","14272","0","PXD013274_2"
"676","0.029","14285","0","PXD013274_2"
"677","0.03","14287","0","PXD013274_2"
"678","0.031","14295","0","PXD013274_2"
"679","0.032","14303","0","PXD013274_2"
"680","0.033","14320","0","PXD013274_2"
"681","0.034","14333","0","PXD013274_2"
"682","0.035","14347","0","PXD013274_2"
"683","0.036","14363","0","PXD013274_2"
"684","0.037","14381","0","PXD013274_2"
"685","0.038","14392","0","PXD013274_2"
"686","0.039","14398","0","PXD013274_2"
"687","0.04","14405","0","PXD013274_2"
"688","0.041","14414","0","PXD013274_2"
"689","0.042","14421","0","PXD013274_2"
"690","0.043","14429","0","PXD013274_2"
"691","0.044","14451","0","PXD013274_2"
"692","0.045","14463","0","PXD013274_2"
"693","0.046","14475","0","PXD013274_2"
"694","0.047","14484","0","PXD013274_2"
"695","0.048","14494","0","PXD013274_2"
"696","0.049","14510","0","PXD013274_2"
"697","0.05","14526","0","PXD013274_2"
"698","0.01","14097","1","PXD013274_2"
"699","0.011","14117","1","PXD013274_2"
"700","0.012","14143","1","PXD013274_2"
"701","0.013","14152","1","PXD013274_2"
"702","0.014","14156","1","PXD013274_2"
"703","0.015","14168","1","PXD013274_2"
"704","0.016","14180","1","PXD013274_2"
"705","0.017","14187","1","PXD013274_2"
"706","0.018","14197","1","PXD013274_2"
"707","0.019","14202","1","PXD013274_2"
"708","0.02","14206","1","PXD013274_2"
"709","0.021","14217","1","PXD013274_2"
