"","Threshold","power_open","dcy_indx","PXID"
"528","0.045","799","2","PXD006856"
"529","0.046","799","2","PXD006856"
"530","0.047","802","2","PXD006856"
"531","0.048","803","2","PXD006856"
"532","0.049","804","2","PXD006856"
"533","0.05","804","2","PXD006856"
"534","0.01","688","3","PXD006856"
"535","0.011","696","3","PXD006856"
"536","0.012","704","3","PXD006856"
"537","0.013","721","3","PXD006856"
"538","0.014","722","3","PXD006856"
"539","0.015","722","3","PXD006856"
"540","0.016","727","3","PXD006856"
"541","0.017","740","3","PXD006856"
"542","0.018","747","3","PXD006856"
"543","0.019","747","3","PXD006856"
"544","0.02","756","3","PXD006856"
"545","0.021","756","3","PXD006856"
"546","0.022","759","3","PXD006856"
"547","0.023","766","3","PXD006856"
"548","0.024","766","3","PXD006856"
"549","0.025","778","3","PXD006856"
"550","0.026","779","3","PXD006856"
"551","0.027","779","3","PXD006856"
"552","0.028","779","3","PXD006856"
"553","0.029","783","3","PXD006856"
"554","0.03","783","3","PXD006856"
"555","0.031","783","3","PXD006856"
"556","0.032","784","3","PXD006856"
"557","0.033","791","3","PXD006856"
"558","0.034","791","3","PXD006856"
"559","0.035","791","3","PXD006856"
"560","0.036","792","3","PXD006856"
"561","0.037","794","3","PXD006856"
"562","0.038","795","3","PXD006856"
"563","0.039","807","3","PXD006856"
"564","0.04","811","3","PXD006856"
"565","0.041","812","3","PXD006856"
"566","0.042","813","3","PXD006856"
"567","0.043","813","3","PXD006856"
"568","0.044","813","3","PXD006856"
"569","0.045","813","3","PXD006856"
"570","0.046","813","3","PXD006856"
"571","0.047","816","3","PXD006856"
"572","0.048","825","3","PXD006856"
"573","0.049","830","3","PXD006856"
"574","0.05","830","3","PXD006856"
"575","0.01","674","4","PXD006856"
"576","0.011","691","4","PXD006856"
"577","0.012","716","4","PXD006856"
"578","0.013","723","4","PXD006856"
"579","0.014","735","4","PXD006856"
"580","0.015","735","4","PXD006856"
"581","0.016","735","4","PXD006856"
"582","0.017","737","4","PXD006856"
"583","0.018","746","4","PXD006856"
"584","0.019","747","4","PXD006856"
"585","0.02","750","4","PXD006856"
"586","0.021","750","4","PXD006856"
"587","0.022","750","4","PXD006856"
"588","0.023","757","4","PXD006856"
"589","0.024","763","4","PXD006856"
"590","0.025","773","4","PXD006856"
"591","0.026","782","4","PXD006856"
"592","0.027","785","4","PXD006856"
"593","0.028","786","4","PXD006856"
"594","0.029","786","4","PXD006856"
"595","0.03","790","4","PXD006856"
"596","0.031","792","4","PXD006856"
"597","0.032","797","4","PXD006856"
"598","0.033","797","4","PXD006856"
"599","0.034","797","4","PXD006856"
"600","0.035","797","4","PXD006856"
"601","0.036","798","4","PXD006856"
"602","0.037","798","4","PXD006856"
"603","0.038","798","4","PXD006856"
"604","0.039","798","4","PXD006856"
"605","0.04","798","4","PXD006856"
"606","0.041","798","4","PXD006856"
"607","0.042","800","4","PXD006856"
"608","0.043","803","4","PXD006856"
"609","0.044","804","4","PXD006856"
"610","0.045","809","4","PXD006856"
"611","0.046","811","4","PXD006856"
"612","0.047","812","4","PXD006856"
"613","0.048","812","4","PXD006856"
"614","0.049","812","4","PXD006856"
"615","0.05","812","4","PXD006856"
"616","0.01","727","5","PXD006856"
"617","0.011","731","5","PXD006856"
"618","0.012","731","5","PXD006856"
"619","0.013","732","5","PXD006856"
"620","0.014","743","5","PXD006856"
"621","0.015","746","5","PXD006856"
"622","0.016","753","5","PXD006856"
"623","0.017","753","5","PXD006856"
"624","0.018","753","5","PXD006856"
"625","0.019","753","5","PXD006856"
"626","0.02","756","5","PXD006856"
"627","0.021","756","5","PXD006856"
"628","0.022","761","5","PXD006856"
"629","0.023","765","5","PXD006856"
"630","0.024","774","5","PXD006856"
"631","0.025","774","5","PXD006856"
"632","0.026","780","5","PXD006856"
"633","0.027","784","5","PXD006856"
"634","0.028","784","5","PXD006856"
"635","0.029","784","5","PXD006856"
"636","0.03","785","5","PXD006856"
"637","0.031","786","5","PXD006856"
"638","0.032","787","5","PXD006856"
"639","0.033","789","5","PXD006856"
"640","0.034","789","5","PXD006856"
"641","0.035","789","5","PXD006856"
"642","0.036","789","5","PXD006856"
"643","0.037","790","5","PXD006856"
"644","0.038","790","5","PXD006856"
"645","0.039","790","5","PXD006856"
"646","0.04","792","5","PXD006856"
"647","0.041","794","5","PXD006856"
"648","0.042","794","5","PXD006856"
"649","0.043","804","5","PXD006856"
"650","0.044","804","5","PXD006856"
"651","0.045","804","5","PXD006856"
