"","Threshold","power_narrow","dcy_indx","PXID"
"699","0.011","455","7","PXD006856"
"700","0.012","455","7","PXD006856"
"701","0.013","455","7","PXD006856"
"702","0.014","456","7","PXD006856"
"703","0.015","456","7","PXD006856"
"704","0.016","458","7","PXD006856"
"705","0.017","458","7","PXD006856"
"706","0.018","465","7","PXD006856"
"707","0.019","465","7","PXD006856"
"708","0.02","466","7","PXD006856"
"709","0.021","466","7","PXD006856"
"710","0.022","467","7","PXD006856"
"711","0.023","467","7","PXD006856"
"712","0.024","472","7","PXD006856"
"713","0.025","472","7","PXD006856"
"714","0.026","475","7","PXD006856"
"715","0.027","475","7","PXD006856"
"716","0.028","481","7","PXD006856"
"717","0.029","487","7","PXD006856"
"718","0.03","487","7","PXD006856"
"719","0.031","487","7","PXD006856"
"720","0.032","487","7","PXD006856"
"721","0.033","487","7","PXD006856"
"722","0.034","487","7","PXD006856"
"723","0.035","491","7","PXD006856"
"724","0.036","491","7","PXD006856"
"725","0.037","493","7","PXD006856"
"726","0.038","493","7","PXD006856"
"727","0.039","497","7","PXD006856"
"728","0.04","500","7","PXD006856"
"729","0.041","500","7","PXD006856"
"730","0.042","504","7","PXD006856"
"731","0.043","504","7","PXD006856"
"732","0.044","510","7","PXD006856"
"733","0.045","510","7","PXD006856"
"734","0.046","511","7","PXD006856"
"735","0.047","514","7","PXD006856"
"736","0.048","514","7","PXD006856"
"737","0.049","518","7","PXD006856"
"738","0.05","521","7","PXD006856"
"739","0.01","458","8","PXD006856"
"740","0.011","464","8","PXD006856"
"741","0.012","464","8","PXD006856"
"742","0.013","466","8","PXD006856"
"743","0.014","466","8","PXD006856"
"744","0.015","466","8","PXD006856"
"745","0.016","466","8","PXD006856"
"746","0.017","466","8","PXD006856"
"747","0.018","468","8","PXD006856"
"748","0.019","468","8","PXD006856"
"749","0.02","472","8","PXD006856"
"750","0.021","472","8","PXD006856"
"751","0.022","475","8","PXD006856"
"752","0.023","475","8","PXD006856"
"753","0.024","475","8","PXD006856"
"754","0.025","475","8","PXD006856"
"755","0.026","475","8","PXD006856"
"756","0.027","475","8","PXD006856"
"757","0.028","475","8","PXD006856"
"758","0.029","475","8","PXD006856"
"759","0.03","477","8","PXD006856"
"760","0.031","477","8","PXD006856"
"761","0.032","477","8","PXD006856"
"762","0.033","477","8","PXD006856"
"763","0.034","481","8","PXD006856"
"764","0.035","481","8","PXD006856"
"765","0.036","482","8","PXD006856"
"766","0.037","482","8","PXD006856"
"767","0.038","485","8","PXD006856"
"768","0.039","485","8","PXD006856"
"769","0.04","487","8","PXD006856"
"770","0.041","490","8","PXD006856"
